,0
mean_radius,14.555185714285711
mean_texture,19.847857142857137
mean_perimeter,95.47899999999998
mean_area,689.6671428571431
mean_smoothness,0.10267928571428568
mean_compactness,0.1276912857142857
mean_concavity,0.11798760000000001
mean_concave_points,0.06374645714285716
mean_symmetry,0.19520428571428575
mean_fractal_dimension,0.06501542857142861
radius error,0.4669857142857143
texture error,1.1465514285714284
perimeter error,3.3246428571428566
area error,47.038385714285695
smoothness error,0.006668714285714287
compactness error,0.028468699999999996
concavity error,0.03632281428571427
concave points error,0.01304668571428571
symmetry error,0.021816457142857147
fractal dimension error,0.0039919000000000005
worst radius,17.522942857142855
worst texture,27.005571428571436
worst perimeter,116.80985714285718
worst area,1011.8085714285713
worst smoothness,0.1451634285714285
worst compactness,0.349253857142857
worst concavity,0.3827450714285715
worst concave points,0.15048514285714293
worst symmetry,0.3369185714285714
worst fractal dimension,0.09476871428571425
target,0.2857142857142857
